client_id,nom,prenom,email,date_naissance,sexe,ville,date_inscription
62,Nom62,Prenom62,user62@mail.com,1998-06-25,F,Ville24,2023-09-12
63,Nom63,Prenom63,user63@mail.com,1969-07-26,Autre,Ville10,2022-06-16
64,Nom64,Prenom64,user64@mail.com,2001-04-26,F,Ville12,2024-02-26
65,Nom65,Prenom65,user65@mail.com,1972-05-11,H,Ville40,2022-06-24
66,Nom66,Prenom66,user66@mail.com,1966-06-07,F,Ville25,2023-08-03
67,Nom67,Prenom67,user67@mail.com,1983-04-14,H,Ville30,2023-07-21
68,Nom68,Prenom68,user68@mail.com,2001-07-06,F,Ville20,2023-12-16
69,Nom69,Prenom69,user69@mail.com,1975-01-24,F,Ville26,2022-12-16
70,Nom70,Prenom70,user70@mail.com,1981-08-02,F,Ville1,2024-02-20
71,Nom71,Prenom71,user71@mail.com,2001-12-31,F,Ville28,2024-12-21
72,Nom72,Prenom72,user72@mail.com,1980-02-23,Autre,Ville32,2024-05-02
73,Nom73,Prenom73,user73@mail.com,1966-01-05,H,Ville35,2023-09-28
74,Nom74,Prenom74,user74@mail.com,1971-03-29,F,Ville26,2024-06-29
75,Nom75,Prenom75,user75@mail.com,1962-02-08,F,Ville39,2022-09-09
76,Nom76,Prenom76,user76@mail.com,1984-02-28,Autre,Ville23,2023-11-14
77,Nom77,Prenom77,user77@mail.com,1989-10-05,H,Ville10,2024-08-28
78,Nom78,Prenom78,user78@mail.com,1960-03-06,F,Ville43,2024-04-30
79,Nom79,Prenom79,user79@mail.com,1992-07-27,F,Ville27,2024-07-08
80,Nom80,Prenom80,user80@mail.com,1965-05-04,F,Ville46,2024-01-28
81,Nom81,Prenom81,user81@mail.com,1977-03-29,H,Ville35,2022-05-21
82,Nom82,Prenom82,user82@mail.com,1976-08-16,F,Ville16,2024-09-09
83,Nom83,Prenom83,user83@mail.com,1985-10-20,F,Ville6,2024-03-30
84,Nom84,Prenom84,user84@mail.com,1985-07-30,F,Ville8,2024-09-18
85,Nom85,Prenom85,user85@mail.com,1987-09-05,Autre,Ville48,2025-01-10
86,Nom86,Prenom86,user86@mail.com,1957-05-08,H,Ville17,2024-06-21
87,Nom87,Prenom87,user87@mail.com,2004-07-18,H,Ville1,2024-01-19
88,Nom88,Prenom88,user88@mail.com,1981-08-16,H,Ville5,2023-11-10
89,Nom89,Prenom89,user89@mail.com,1983-02-18,F,Ville23,2024-02-05
90,Nom90,Prenom90,user90@mail.com,1964-04-25,Autre,Ville41,2022-12-07
91,Nom91,Prenom91,user91@mail.com,1963-01-11,F,Ville28,2024-01-24
92,Nom92,Prenom92,user92@mail.com,1965-07-05,F,Ville22,2023-03-05
93,Nom93,Prenom93,user93@mail.com,1988-12-28,F,Ville16,2024-03-20
94,Nom94,Prenom94,user94@mail.com,1963-04-02,H,Ville1,2023-04-22
95,Nom95,Prenom95,user95@mail.com,2003-11-06,Autre,Ville12,2023-06-02
96,Nom96,Prenom96,user96@mail.com,1966-06-04,Autre,Ville27,2023-04-25
97,Nom97,Prenom97,user97@mail.com,1983-02-07,F,Ville10,2024-09-25
98,Nom98,Prenom98,user98@mail.com,1990-08-23,F,Ville45,2024-08-11
99,Nom99,Prenom99,user99@mail.com,1982-11-08,Autre,Ville7,2023-03-30
100,Nom100,Prenom100,user100@mail.com,2000-07-09,Autre,Ville29,2024-06-24
